LIC_NAME,STR_NAME,lng,lat
NTUC FAIRPRICE CO-OPERATIVE LTD,WOODLANDS DRIVE 50,103.795136,1.437557
NTUC FAIRPRICE CO-OPERATIVE LTD,YISHUN RING ROAD,103.846596,1.424528
NTUC FAIRPRICE CO-OPERATIVE LTD,WOODLANDS AVENUE 1,103.781137,1.429195
NTUC FAIRPRICE CO-OPERATIVE LTD,YISHUN AVENUE 2,103.834995,1.429525
NTUC FAIRPRICE CO-OPERATIVE LTD,YISHUN RING ROAD,103.835218,1.416983
NTUC FAIRPRICE CO-OPERATIVE LTD,SENJA ROAD,103.760218,1.385096
NTUC FAIRPRICE CO-OPERATIVE LTD,ANG MO KIO AVENUE 1,103.841624,1.366558
NTUC FAIRPRICE CO-OPERATIVE LTD,ORCHID CLUB ROAD,103.84404,1.411036
NTUC FAIRPRICE CO-OPERATIVE LTD,BUKIT TIMAH ROAD,103.81,1.323835
NTUC FAIRPRICE CO-OPERATIVE LTD,CLEMENTI AVENUE 3,103.765477,1.312483
NTUC FAIRPRICE CO-OPERATIVE LTD,JALAN ANAK BUKIT,103.77856,1.338657
NTUC FAIRPRICE CO-OPERATIVE LTD,JURONG EAST STREET 13,103.739371,1.333753
NTUC FAIRPRICE CO-OPERATIVE LTD,JURONG WEST CENTRAL 2,103.706461,1.33983
NTUC FAIRPRICE CO-OPERATIVE LTD,YUNG KUANG ROAD,103.722453,1.332059
NTUC FAIRPRICE CO-OPERATIVE LTD,YUNG SHENG ROAD,103.720268,1.335042
NTUC FAIRPRICE CO-OPERATIVE LTD,BUKIT BATOK WEST AVENUE 8,103.742808,1.347162
NTUC FAIRPRICE CO-OPERATIVE LTD,BUKIT BATOK CENTRAL,103.749335,1.348711
NTUC FAIRPRICE CO-OPERATIVE LTD,JURONG EAST STREET 31,103.731219,1.345512
NTUC FAIRPRICE CO-OPERATIVE LTD,DAWSON ROAD,103.810959,1.292703
SHENG SIONG SUPERMARKET PTE LTD,SERANGOON NORTH AVENUE 5,103.871996,1.375635
NTUC FAIRPRICE CO-OPERATIVE LTD,KALLANG BAHRU,103.87039,1.320993
NTUC FAIRPRICE CO-OPERATIVE LTD,JALAN BUKIT MERAH,103.808242,1.286454
NTUC FAIRPRICE CO-OPERATIVE LTD,RIVER VALLEY ROAD,103.826941,1.293018
NTUC FAIRPRICE CO-OPERATIVE LTD,SINARAN DRIVE,103.843892,1.32043
NTUC FAIRPRICE CO-OPERATIVE LTD,ANG MO KIO AVENUE 3,103.848399,1.369249
NTUC FAIRPRICE CO-OPERATIVE LTD,CAMBRIDGE ROAD,103.849435,1.315363
